x y z m s
2.86757 4.88858 0.0406587 31 11
2.86718 4.88881 0.0407452 31 11
2.86697 4.88921 0.0408309 31 11
2.86694 4.88935 0.0409158 31 11
2.86687 4.88971 0.041 31 12
2.86662 4.88997 0.0410835 31 12
2.86646 4.89015 0.0411662 31 12
2.86634 4.8901 0.0412046 31 12
2.86618 4.88984 0.0412861 31 13
2.86612 4.8898 0.0413237 31 13
2.86605 4.88971 0.041361 31 13
2.86585 4.88946 0.0414408 31 13
2.86582 4.88937 0.0414773 31 14
2.86588 4.88921 0.0415134 31 14
2.86569 4.88892 0.0415493 31 14
2.86554 4.88892 0.0415428 31 14
2.86522 4.8888 0.0415363 31 15
2.86503 4.88851 0.0415299 31 15
2.86489 4.88823 0.0415651 31 15
2.86462 4.88811 0.0415586 31 15
2.86452 4.88791 0.0415934 31 16
2.86446 4.88792 0.0415869 31 16
2.86432 4.88772 0.0416213 31 16
2.86426 4.88749 0.0416554 31 17
2.8642 4.88746 0.0416892 31 17
2.86406 4.88723 0.0417227 31 17
2.86381 4.88692 0.0417962 31 17
2.86371 4.88661 0.0418692 31 18
2.8637 4.8863 0.0419415 31 18
2.8638 4.88584 0.0420132 31 18
2.86367 4.88558 0.042124 31 19
2.86357 4.88532 0.0421945 31 19
2.8636 4.88491 0.0422644 31 19
2.86351 4.88446 0.0423729 31 19
2.86342 4.88425 0.0424805 31 20
2.86329 4.884 0.0426261 31 20
2.86316 4.88367 0.0427706 31 20
2.86299 4.88339 0.042914 31 20
2.86286 4.88311 0.0430563 31 20
2.86274 4.88283 0.0431975 31 21
2.86261 4.88255 0.0433376 31 21
2.86241 4.8822 0.0434766 31 21
2.86214 4.88196 0.0435768 31 22
2.86176 4.88181 0.0436763 31 22
2.86164 4.88176 0.043775 31 22
2.86152 4.88146 0.0439103 31 22
2.86133 4.88119 0.0440074 31 23
2.86114 4.88085 0.0441038 31 23
2.86091 4.88044 0.0441995 31 23
2.86069 4.88018 0.0442577 31 24
2.86046 4.87978 0.0443154 31 24
2.86021 4.87945 0.0443727 31 24
2.85995 4.87927 0.0444296 31 24
2.85973 4.87909 0.0444861 31 25
2.85948 4.87884 0.0445422 31 25
2.85923 4.8786 0.0445978 31 25
2.85898 4.87846 0.0446172 31 25
2.85892 4.87832 0.0446722 31 26
2.8586 4.87804 0.0447268 31 26
2.85825 4.8778 0.0447456 31 26
2.85804 4.87756 0.0447288 31 26
2.8577 4.87729 0.0447474 31 27
2.85725 4.87701 0.0447307 31 27
2.85694 4.87678 0.0447141 31 27
2.8565 4.87648 0.0446977 31 28
2.85623 4.87618 0.0446813 31 28
2.85597 4.87584 0.0446651 31 28
2.8556 4.87544 0.044649 31 28
2.85552 4.87525 0.044633 31 29
2.85546 4.8751 0.0446514 31 29
2.85514 4.87481 0.0446697 31 29
2.85495 4.87448 0.0446879 31 29
2.85486 4.87426 0.0447059 31 30
2.85461 4.87398 0.0447238 31 30
2.85433 4.87376 0.0447753 31 30
2.85408 4.87348 0.0447928 31 30
2.85396 4.87314 0.0448438 31 31
2.85375 4.87293 0.0448943 31 31
2.85344 4.87278 0.0449446 31 31
2.85306 4.87261 0.0449945 31 31
2.85289 4.87237 0.045011 31 32
2.85271 4.87216 0.0450604 31 32
2.85244 4.87179 0.0450766 31 32
2.85214 4.87162 0.0450927 31 32
2.85187 4.87146 0.0450761 31 33
2.85157 4.87145 0.0450921 31 33
2.85144 4.87122 0.0450756 31 33
2.8513 4.87099 0.0450592 31 33
2.85114 4.87079 0.0450107 31 34
2.85097 4.87057 0.0449626 31 34
2.85087 4.87034 0.0449147 31 34
2.85074 4.87009 0.0448672 31 35
2.85055 4.86983 0.0448199 31 35
2.85045 4.86961 0.044773 31 35
2.85045 4.86936 0.0446947 31 35
2.85033 4.86905 0.0445855 31 36
2.85017 4.8687 0.044477 31 36
2.85007 4.86839 0.0443691 31 36
2.8501 4.86818 0.044262 31 36
2.84985 4.86803 0.0441244 31 37
2.84964 4.86788 0.0440186 31 37
2.84955 4.86783 0.0438826 31 37
2.84946 4.86765 0.0437474 31 38
2.8493 4.86741 0.0436131 31 38
2.84912 4.86699 0.0434796 31 38
2.84906 4.86666 0.0433469 31 38
2.84901 4.86637 0.0431846 31 39
2.84895 4.86611 0.0430536 31 39
2.84892 4.86579 0.0428629 31 39
2.84898 4.86556 0.0427035 31 39
2.84896 4.86539 0.0425451 31 40
2.8489 4.86525 0.0423876 31 40
2.84887 4.86515 0.0422311 31 40
2.84885 4.86507 0.0420755 31 41
2.84885 4.865 0.0419208 31 41
2.84883 4.8649 0.041767 31 41
2.84877 4.86479 0.0416142 31 42
2.84877 4.86463 0.0414917 31 42
2.84875 4.86459 0.0413699 31 42
2.84855 4.86443 0.0412488 31 42
2.84858 4.86427 0.0411284 31 43
2.84861 4.86411 0.0410087 31 43
2.84879 4.86378 0.0409188 31 43
2.84877 4.86357 0.0408293 31 43
2.84874 4.86333 0.0407692 31 44
2.84877 4.86326 0.0407095 31 44
2.84892 4.86299 0.0406501 31 44
2.84895 4.86278 0.0406196 31 44
2.84895 4.86272 0.0405894 31 45
2.84884 4.86263 0.0405592 31 45
2.8489 4.86253 0.0405293 31 45
2.84891 4.8625 0.0404995 31 46
2.84891 4.86238 0.0404699 31 46
2.84897 4.86229 0.0404405 31 46
2.84903 4.86217 0.0404112 31 46
2.84886 4.86202 0.0404101 31 47
2.84889 4.86191 0.040381 31 47
2.84906 4.86184 0.04038 31 47
2.84926 4.86178 0.0403789 31 48
2.84929 4.86181 0.0403779 31 48
2.84943 4.8618 0.0403768 31 48
2.84954 4.86171 0.0403758 31 48
2.84968 4.86163 0.0404022 31 49
2.84974 4.86154 0.0404284 31 49
2.84976 4.86148 0.0404545 31 49
2.84976 4.86131 0.0404805 31 49
2.84971 4.86128 0.0405063 31 50
2.84963 4.86115 0.040532 31 50
2.84963 4.86106 0.0405845 31 50
2.84958 4.86106 0.0406368 31 50
2.84955 4.86087 0.0407156 31 51
2.84961 4.86087 0.0407672 31 51
2.84961 4.86086 0.0408452 31 51
2.84964 4.86099 0.0409228 31 51
2.84969 4.86099 0.041 31 52
2.84961 4.86109 0.0411033 31 52
2.84959 4.86122 0.041206 31 52
2.84961 4.86119 0.0413082 31 52
2.84961 4.86122 0.0414098 31 53
2.84962 4.86132 0.0415109 31 53
2.84964 4.86134 0.0416376 31 53
2.84967 4.86121 0.0417637 31 53
2.84983 4.8612 0.0418891 31 54
2.84983 4.8611 0.0420138 31 54
2.84983 4.86107 0.0421379 31 54
2.84985 4.86107 0.0422614 31 55
2.84988 4.86101 0.0424099 31 55
2.84993 4.86098 0.0425321 31 55
2.85009 4.86103 0.0426792 31 55
2.85006 4.86121 0.0428 31 56
2.85008 4.86123 0.0428947 31 56
2.85006 4.86135 0.0430144 31 56
2.85011 4.86148 0.0431081 31 56
2.85019 4.86147 0.0432013 31 57
2.85026 4.86145 0.0432941 31 57
2.85026 4.86144 0.0433613 31 57
2.85028 4.86146 0.0434532 31 57
2.85036 4.86143 0.0435196 31 58
2.85041 4.86143 0.0435857 31 58
2.85048 4.86145 0.0436515 31 58
2.85058 4.86145 0.0437169 31 58
2.85065 4.86145 0.043782 31 59
2.8508 4.86139 0.0438468 31 59
