x y z m s
2.16 2.26 3.18 44 57
2.2 2.3 3.18 44 58
2.21 2.33 3.18 44 58
2.24 2.38 3.18 44 58
2.25 2.4 3.18 44 58
2.27 2.45 3.18 44 58
2.28 2.47 3.18 44 58
2.29 2.52 3.18 44 58
2.29 2.55 3.18 44 58
2.29 2.6 3.18 44 58
2.29 2.62 3.18 44 58
2.29 2.67 3.18 44 58
2.28 2.69 3.18 44 58
2.27 2.75 3.17 44 58
2.27 2.76 3.17 44 58
2.25 2.82 3.17 44 58
2.24 2.84 3.17 44 58
2.23 2.89 3.17 44 59
2.22 2.91 3.17 44 59
2.2 2.96 3.17 44 59
2.2 2.98 3.17 44 59
2.18 3.03 3.17 44 59
2.17 3.05 3.17 44 59
2.15 3.1 3.17 44 59
2.14 3.12 3.17 44 59
2.13 3.17 3.17 44 59
2.12 3.19 3.17 44 59
2.1 3.24 3.16 44 59
2.09 3.26 3.16 44 59
2.07 3.3 3.16 44 59
2.06 3.33 3.16 44 59
2.04 3.38 3.16 44 59
2.04 3.4 3.16 44 59
2.02 3.44 3.16 44 59
2.01 3.47 3.16 44 59
1.99 3.52 3.16 44 59
1.99 3.54 3.16 45 0
1.97 3.58 3.16 45 0
1.96 3.61 3.16 45 0
1.95 3.66 3.16 45 0
1.94 3.71 3.16 45 0
1.93 3.73 3.16 45 0
1.93 3.75 3.16 45 0
1.92 3.8 3.16 45 0
1.92 3.83 3.16 45 0
1.91 3.87 3.16 45 0
1.91 3.9 3.16 45 0
1.91 3.95 3.16 45 0
1.91 3.98 3.16 45 0
1.91 4.02 3.16 45 0
1.91 4.05 3.16 45 0
1.91 4.1 3.16 45 0
1.91 4.12 3.16 45 0
1.92 4.16 3.16 45 0
1.92 4.18 3.15 45 1
1.93 4.23 3.15 45 1
1.94 4.24 3.15 45 1
1.95 4.27 3.16 45 1
1.96 4.28 3.16 45 1
1.97 4.31 3.16 45 1
1.98 4.31 3.16 45 1
1.99 4.33 3.16 45 1
2 4.33 3.16 45 1
2.02 4.33 3.15 45 1
2.02 4.33 3.15 45 1
