x y z m s
-0.02 -0.04 3.98 19 11
-0.02 -0.04 3.98 19 11
-0.02 -0.03 3.98 19 11
-0.02 -0.03 3.98 19 11
-0.02 -0.03 3.98 19 11
-0.02 -0.03 3.98 19 11
-0.02 -0.03 3.98 19 12
-0.02 -0.03 3.98 19 12
-0.02 -0.03 3.98 19 12
-0.02 -0.03 3.97 19 12
-0.02 -0.03 3.97 19 12
-0.02 -0.03 3.97 19 12
-0.02 -0.03 3.97 19 12
-0.02 -0.03 3.97 19 12
-0.02 -0.03 3.97 19 12
-0.02 -0.03 3.97 19 12
-0.02 -0.03 3.97 19 12
-0.02 -0.03 3.97 19 12
-0.02 -0.03 3.97 19 12
-0.02 -0.03 3.97 19 13
-0.02 -0.03 3.97 19 13
-0.02 -0.02 3.97 19 13
-0.02 -0.02 3.97 19 13
-0.02 -0.02 3.97 19 13
-0.02 -0.02 3.97 19 13
-0.02 -0.02 3.97 19 13
-0.02 -0.02 3.97 19 13
-0.02 -0.02 3.97 19 13
-0.02 -0.02 3.97 19 13
-0.02 -0.02 3.97 19 13
-0.02 -0.02 3.97 19 14
-0.02 -0.02 3.97 19 14
-0.02 -0.02 3.97 19 14
-0.02 -0.01 3.97 19 14
-0.02 -0.01 3.97 19 14
-0.02 -0.01 3.97 19 14
-0.02 -0.01 3.96 19 14
-0.02 -0.01 3.96 19 14
-0.02 -0.01 3.96 19 14
-0.02 -0.01 3.96 19 14
-0.02 -0.01 3.96 19 14
-0.02 -0.01 3.96 19 14
-0.02 -0.01 3.96 19 15
-0.02 -0 3.96 19 15
-0.02 -0 3.97 19 15
-0.02 -0 3.97 19 15
-0.02 -0 3.97 19 15
-0.02 -0 3.97 19 15
-0.02 -0 3.97 19 15
-0.02 -0 3.97 19 15
-0.02 -0 3.97 19 15
-0.02 0 3.97 19 16
-0.02 0 3.97 19 16
-0.02 0 3.97 19 16
-0.02 0 3.97 19 16
-0.02 0 3.96 19 16
-0.02 0 3.96 19 16
-0.02 0 3.96 19 16
-0.02 0 3.96 19 16
-0.02 0 3.96 19 16
-0.02 0.01 3.96 19 16
-0.02 0.01 3.96 19 16
-0.02 0.01 3.96 19 16
-0.02 0.01 3.96 19 16
-0.02 0.01 3.96 19 16
-0.02 0.01 3.97 19 17
-0.01 0.01 3.97 19 17
-0.01 0.01 3.97 19 17
-0.01 0.01 3.97 19 17
-0.01 0.01 3.97 19 17
-0.01 0.01 3.97 19 17
-0.01 0.01 3.97 19 17
-0.01 0.01 3.97 19 17
-0.01 0.01 3.97 19 17
-0.01 0.01 3.97 19 17
-0.01 0.02 3.97 19 17
-0.01 0.02 3.97 19 17
-0.02 0.02 3.97 19 18
-0.02 0.02 3.97 19 18
-0.02 0.02 3.97 19 18
-0.02 0.02 3.97 19 18
-0.02 0.02 3.97 19 18
-0.02 0.02 3.98 19 18
-0.02 0.02 3.98 19 18
-0.02 0.02 3.98 19 18
-0.02 0.02 3.98 19 18
-0.02 0.03 3.98 19 18
-0.02 0.03 3.98 19 18
-0.02 0.03 3.98 19 19
-0.02 0.03 3.98 19 19
-0.02 0.03 3.98 19 19
-0.02 0.03 3.98 19 19
-0.02 0.03 3.98 19 19
-0.02 0.03 3.98 19 19
-0.02 0.03 3.98 19 19
-0.02 0.03 3.98 19 19
-0.02 0.03 3.98 19 19
-0.02 0.04 3.97 19 19
-0.02 0.04 3.97 19 19
-0.02 0.04 3.97 19 19
-0.02 0.04 3.97 19 19
-0.02 0.04 3.97 19 20
-0.02 0.04 3.97 19 20
-0.02 0.04 3.97 19 20
-0.02 0.04 3.97 19 20
-0.01 0.04 3.97 19 20
-0.01 0.04 3.97 19 20
